iter	RMSE
316	0.2421334509
317	0.2419600316
318	0.2415935267
319	0.2413393819
320	0.2410582661
321	0.2407386904
322	0.2404573726
323	0.2402254517
324	0.2401232779
325	0.2397618657
326	0.2395461103
327	0.2394145967
328	0.2392555944
329	0.2391639319
330	0.2389713916
331	0.2387531975
332	0.2385746849
333	0.2383832144
334	0.2381457505
335	0.2380240764
336	0.2378842959
337	0.2376073271
338	0.2373884274
339	0.2371542325
340	0.2368147105
341	0.2366130911
342	0.2363687186
343	0.2360523315
344	0.2360244613
345	0.235948767
346	0.2357466996
347	0.2355506518
348	0.2354866546
349	0.235228453
350	0.2351262486
351	0.2350502251
352	0.2349359507
353	0.2347371416
354	0.2346159137
355	0.2343795439
356	0.2342377514
357	0.233986981
358	0.233720399
359	0.2336226406
360	0.2334056828
361	0.2332527122
362	0.2330123485
363	0.2328772447
364	0.2326557902
365	0.2324698565
366	0.2323692297
367	0.2322944858
368	0.2321798419
369	0.2320754545
370	0.2319028384
371	0.2317581377
372	0.2316822006
373	0.2316211817
374	0.2315510681
375	0.2311530947
376	0.2309754829
377	0.2306615953
378	0.2305325445
379	0.2304569847
380	0.2303160336
381	0.2302316856
382	0.2300240917
383	0.229889293
384	0.2297372307
385	0.2294840031
386	0.229421605
387	0.229155694
388	0.229091508
389	0.2289344947
390	0.2287557079
391	0.2286297061
392	0.228447269
393	0.2283233878
394	0.2282167046
395	0.2280490382
396	0.227871641
397	0.2278075228
398	0.2276418766
399	0.2274983371
400	0.2271871641
401	0.2270417544
402	0.2268111854
403	0.2267639777
404	0.2266058849
405	0.2264569383
406	0.2262755063
407	0.2262213766
408	0.2260803675
409	0.2259545534
410	0.2258659191
411	0.225825231
412	0.2255529614
413	0.225333932
414	0.2251326966
415	0.225091682
416	0.224755992
417	0.2246349031
418	0.2244263518
419	0.2242400322
420	0.2240384932
421	0.2238997906
422	0.223837534
423	0.2235997516
424	0.2234861079
425	0.2234168337
426	0.2232829088
427	0.2231293269
428	0.2228357393
429	0.2227132064
430	0.2225899006
431	0.222435357
432	0.2222077158
433	0.2220170937
434	0.2218933251
435	0.2218043275
436	0.2216922752
437	0.2216083499
438	0.2214683813
439	0.2213144793
440	0.2211766359
441	0.2210233548
442	0.2209491996
443	0.2207184928
444	0.2205291514
445	0.2204503468
446	0.2203871021
447	0.2203305873
448	0.2202246296
449	0.2200570085
450	0.2198586474
451	0.2197329344
452	0.2195598823
453	0.2194717637
454	0.2193599654
455	0.2192838145
456	0.219223156
457	0.2189090815
458	0.2188081302
459	0.218704001
460	0.2186659327
461	0.2185118198
462	0.2184073453
463	0.2183184218
464	0.2182222985
465	0.2181074229
466	0.2180119108
467	0.2179177836
468	0.2178613827
469	0.2177176458
470	0.2176067369
471	0.217457152
472	0.2173674408
473	0.2172722809
474	0.2170424744
475	0.2169638155
476	0.2168052772
477	0.216630335
478	0.2165751003
479	0.2163404918
480	0.2162097106
481	0.2161241571
482	0.216067417
483	0.2159236195
484	0.2157233476
485	0.2156714564
486	0.2156024003
487	0.2154755483
488	0.2153879277
489	0.2151564493
490	0.2150953146
491	0.2149455798
492	0.2147925854
493	0.2146927044
494	0.2146062109
495	0.2145562363
496	0.2144889619
497	0.2143147113
498	0.2142133001
499	0.2141122864
500	0.2139683351
501	0.2138920424
502	0.2137345632
503	0.213645258
504	0.2135955592
505	0.21348595
506	0.2133456206
507	0.2132740434
508	0.2131976819
509	0.2130185447
510	0.2129181047
511	0.2128331849
512	0.2127648186
513	0.2127281842
514	0.2126815233
515	0.2125626119
516	0.2123885974
517	0.2122667241
518	0.2121496228
519	0.2120026776
520	0.2119033706
521	0.2117966116
522	0.211665965
523	0.2115889076
524	0.2114865745
525	0.2113292414
526	0.211238503
527	0.2110758416
528	0.2110212759
529	0.2109074982
530	0.2107943846
531	0.210576864
532	0.2104887257
533	0.2104059846
534	0.2103131553
535	0.2102453687
536	0.2100884612
537	0.2099075222
538	0.2098014442
539	0.2096301112
540	0.2095147006
541	0.2092003323
542	0.209088023
543	0.2089828788
544	0.2088209634
545	0.208769113
546	0.2086558076
547	0.2084928992
548	0.2083468505
549	0.2082110318
550	0.2081005616
551	0.2079499367
552	0.207880734
553	0.2077012958
554	0.2076044876
555	0.2074216374
556	0.2072908022
557	0.2071918267
558	0.2071258402
559	0.2070312496
560	0.206797261
561	0.2066859732
562	0.2065629971
563	0.2064583403
564	0.2064127314
565	0.2062133647
566	0.2060884968
567	0.2059362084
568	0.2058701452
569	0.2057785624
570	0.2057041531
571	0.2055585188
572	0.2054691178
573	0.2053756088
574	0.2053134336
575	0.2052217419
576	0.2051277875
577	0.2050176129
578	0.2049202634
579	0.2049040019
580	0.2048496219
581	0.204753517
582	0.204650353
583	0.2045725835
584	0.2044997559
585	0.2044184501
586	0.2042801495
587	0.2041413655
588	0.2040422395
589	0.2039420537
590	0.2038134951
591	0.2037020962
592	0.2036765296
593	0.2035701119
594	0.2034694551
595	0.203388243
596	0.2033149871
597	0.2031874866
598	0.2030907788
599	0.2030256523
600	0.2029472729
601	0.2028005195
602	0.2026934812
603	0.2025935926
604	0.2025170523
605	0.2024315072
606	0.2023490621
607	0.2023080281
608	0.2020247892
609	0.201957272
610	0.2018508462
611	0.201694742
612	0.2015385247
613	0.2014723048
614	0.2013725534
615	0.2013467678
616	0.2012938285
617	0.2011881306
618	0.2011094553
619	0.2010601673
620	0.20100446
621	0.2009573213
622	0.2008965472
623	0.2008619346
624	0.2007684567
625	0.2005317224
626	0.2004936911
627	0.2003602566
628	0.20030636
629	0.2001998321
630	0.200148346
631	0.2000328902
632	0.1999822246
633	0.1998700812
634	0.1997707477
635	0.1996588482
636	0.1995805712
637	0.1995076737
638	0.1994019961
639	0.1992786463
640	0.1990810868
641	0.1989143309
642	0.1988716029
643	0.1988095688
644	0.1987302628
645	0.1986731938
646	0.1985245371
647	0.1984710424
648	0.1983033849
649	0.1981954933
650	0.1981607828
651	0.1981287876
652	0.1980988639
653	0.1979692151
654	0.197852355
655	0.1977874227
656	0.1976668111
657	0.1975711473
658	0.1974967439
659	0.1974211952
660	0.1973254329
661	0.1972278707
662	0.1971552853
663	0.1969647048
664	0.1968770667
665	0.1967006833
666	0.1966191355
667	0.1964161175
668	0.1963335441
669	0.1962455282
670	0.1961281577
671	0.1960291128
672	0.1959360422
673	0.1958215938
674	0.195661605
675	0.1955920994
676	0.1955203105
677	0.1954947436
678	0.1954113896
679	0.1953392266
680	0.195220082
681	0.1951400694
682	0.1950577282
683	0.194975303
684	0.1948724746
685	0.194779984
686	0.1946848801
687	0.1946241774
688	0.194560859
689	0.1944515558
690	0.1943999894
691	0.1943594773
692	0.1942906392
693	0.1942417972
694	0.1941849448
695	0.1940983799
696	0.1939639766
697	0.1939443596
698	0.1938488939
699	0.193788344
700	0.1937303573
701	0.193620449
702	0.1935857965
703	0.1935671426
704	0.1935152621
705	0.1934743849
706	0.1934123564
707	0.1933499396
708	0.1933227434
709	0.1932539748
710	0.193235121
711	0.1930681671
712	0.1929735094
713	0.1928937159
714	0.1928278459
715	0.192681066
716	0.1925823511
717	0.1925358768
718	0.1925025466
719	0.1924140989
720	0.1923353285
721	0.192207461
722	0.1920744744
723	0.1920310448
724	0.1919114759
725	0.1918544827
726	0.1917757061
727	0.1916777723
728	0.191613861
729	0.1915455607
730	0.1914665044
731	0.1913373191
732	0.1912295894
733	0.1911152757
734	0.1910463524
735	0.1910033545
736	0.1909788537
737	0.1909229298
738	0.1908060202
739	0.1907026507
740	0.1906059735
741	0.1905343715
742	0.1904500321
743	0.1903571195
744	0.1902891407
745	0.1901993075
746	0.1901119931
747	0.1900400608
748	0.1898648436
749	0.1897291846
750	0.1895831209
751	0.1895628134
752	0.1895261547
753	0.1894311508
754	0.189331477
755	0.1893215014
756	0.1892327489
757	0.189139903
758	0.1890883263
759	0.1890059061
760	0.1888822253
761	0.1888178239
762	0.188694633
763	0.1886735849
764	0.1886246112
765	0.1886013179
766	0.1885247402
767	0.1884370651
768	0.1883929977
769	0.1883101459
770	0.1882230593
771	0.1882028945
772	0.1881413238
773	0.1880532367
774	0.1880450128
775	0.188005808
776	0.1879464673
777	0.1878818235
778	0.1877851403
779	0.1876518076
780	0.1876180926
781	0.1875326034
782	0.1874739301
783	0.1873947582
784	0.1873091016
785	0.1872542175
786	0.1871771452
787	0.1871089048
788	0.1870545266
789	0.1869713825
790	0.1868873447
791	0.1868711186
792	0.1868138648
793	0.186732166
794	0.1866884429
795	0.1865685364
796	0.186505722
797	0.1864293292
798	0.186359196
799	0.1863135594
800	0.1862565448
801	0.1862042849
802	0.1861438039
803	0.1861116518
804	0.1860373901
805	0.1859868126
806	0.1859335502
807	0.1858743372
808	0.1857284391
809	0.1855388994
810	0.1854649127
811	0.1853750869
812	0.1853103129
813	0.1852237128
814	0.1852019484
815	0.1851016142
816	0.1850376231
817	0.1849630331
818	0.184907863
819	0.1848367108
820	0.1847856403
821	0.184753609
822	0.1846932087
823	0.1846284908
824	0.1845814863
825	0.184488183
826	0.1844212988
827	0.1843290518
828	0.1842529397
829	0.1840628021
830	0.184008268
831	0.1838816304
832	0.1837223292
833	0.1836504996
834	0.1836078745
835	0.1835387117
836	0.183483604
837	0.1834232126
838	0.1833407237
839	0.1832917735
840	0.1832660159
841	0.1831499267
842	0.1830969435
843	0.1830396705
844	0.1829560828
845	0.1828902285
846	0.1827001188
847	0.1826334982
848	0.1825668584
849	0.1825005764
850	0.1824439209
851	0.1824230485
852	0.1823384252
853	0.1822681213
854	0.1822030306
855	0.1821480382
856	0.1820438241
857	0.1819361728
858	0.1818391823
859	0.1817676824
860	0.1817592953
861	0.1817261664
862	0.181718857
863	0.1816712307
864	0.181622966
865	0.1815782742
866	0.1814979863
867	0.1814575706
868	0.1814240653
869	0.1813916144
870	0.1813687904
871	0.1812980805
872	0.1812863327
873	0.1812217866
874	0.1811622435
875	0.1810622476
876	0.1810114924
877	0.1809661101
878	0.1808899758
879	0.1807465025
880	0.1806859457
881	0.1806382059
882	0.1805925002
883	0.1805224611
884	0.1804548348
885	0.1804256221
886	0.1803385477
887	0.1802591505
888	0.1802009728
889	0.1801470768
890	0.1800686793
891	0.1800000626
892	0.1799694477
893	0.1798814935
894	0.1797803477
895	0.179745589
896	0.1796157726
897	0.179530389
898	0.1794484628
899	0.1793944771
900	0.1793381565
901	0.1792811111
902	0.1792413567
903	0.1792051696
904	0.1791579461
905	0.1791025592
906	0.1790360745
907	0.178976247
908	0.1789261175
909	0.1788580487
910	0.1787932548
911	0.1787571234
912	0.1786834233
913	0.1786110063
914	0.1784549918
915	0.1784157435
916	0.1783312406
917	0.1782247611
918	0.1781304655
919	0.1780334951
920	0.177993211
921	0.177946431
922	0.1778648491
923	0.1778076417
924	0.1777544216
925	0.1776625033
926	0.1776167976
927	0.1775988314
928	0.1775176108
929	0.1774276821
930	0.1773943825
931	0.1773440617
932	0.1773127981
933	0.1772709503
934	0.1772207052
935	0.1771546331
936	0.1771170767
937	0.1770628764
938	0.176986813
939	0.1769783775
940	0.1768970883
941	0.1768496074
942	0.176806189
943	0.1767174693
944	0.1766416204
945	0.1765143312
946	0.1764748583
947	0.1764192954
948	0.1763991791
949	0.1763358386
950	0.1762877557
951	0.1762408061
952	0.1761604814
953	0.1760209936
954	0.1759103217
955	0.1758697877
956	0.175788205
957	0.175749626
958	0.1756831596
959	0.1756345607
960	0.1755962538
961	0.1755505217
962	0.1754737669
963	0.1753944485
964	0.1753469163
965	0.1752963245
966	0.1752309271
967	0.1751748552
968	0.1751444583
969	0.1751029552
970	0.175000943
971	0.1749520111
972	0.1748903622
973	0.1748040473
974	0.1747594445
975	0.1746975625
976	0.1746805315
977	0.1746263304
978	0.1745904108
979	0.1745587769
980	0.1744866583
981	0.17442428
982	0.1743859981
983	0.1743378589
984	0.1742850376
985	0.174241324
986	0.1742105633
987	0.1741475158
988	0.1740806341
989	0.1740341705
990	0.1739520583
991	0.1739322052
992	0.1739174054
993	0.1738606636
994	0.1737957021
995	0.1737441698
996	0.1736990004
997	0.1736566811
998	0.1736065413
999	0.1735124932
